net,length_um
u_wm0.u_dm.data_mem\[7\]\[13\],99.42µm
net1948,99.39µm
U_rf0.rd\[7\]\[29\],99.13µm
net1609,98.62µm
U_rf0.rd\[3\]\[0\],98.58µm
net2047,98.57µm
_0882_,98.5µm
net1212,98.48µm
u_wm0.u_dm.data_mem\[7\]\[14\],98.45µm
pc\[14\],98.44µm
net2726,98.28µm
pc\[15\],97.96µm
u_wm0.u_dm.data_mem\[9\]\[18\],97.9µm
net1672,97.84µm
net1228,97.755µm
net1983,97.7µm
net2193,97.615µm
U_rf0.rd\[7\]\[8\],97.36µm
net2759,97.33µm
u_wm0.u_dm.data_mem\[14\]\[20\],97.3µm
net1755,97.27µm
net2937,97.04µm
net2117,96.98µm
U_rf0.rd\[7\]\[14\],96.9µm
net1646,96.7µm
net2041,96.53µm
net1508,96.18µm
net1710,96.16µm
U_rf0.rd\[4\]\[25\],96.03µm
net1266,96.015µm
_3117_,96µm
net2158,95.96µm
_2761_,95.96µm
net1823,95.8µm
_1252_,95.7µm
net2468,95.68µm
net1442,95.66µm
net2166,95.54µm
net1751,95.16µm
net1126,95.06µm
net1586,94.76µm
U_rf0.rd\[2\]\[8\],94.7µm
net1756,94.7µm
net2758,94.66µm
_1985_,94.42µm
_2800_,94.37µm
net1819,94.05µm
net1502,93.92µm
_3253_,93.72µm
U_rf0.rd\[6\]\[19\],93.64µm
pc\[18\],93.58µm
net2911,93.46µm
net1752,93.43µm
net1946,93.38µm
U_rf0.rd\[5\]\[31\],93.14µm
U_rf0.rd\[7\]\[26\],92.98µm
U_rf0.rd\[3\]\[23\],92.72µm
_2088_,92.45µm
U_rf0.rd\[6\]\[13\],92.4µm
net1871,92.2µm
pc_plus4\[27\],92.04µm
net1280,92.02µm
net1687,92.02µm
_1411_,91.88µm
net1760,91.7µm
net1969,91.66µm
net1217,91.44µm
net1867,91.36µm
_3175_,91.18µm
net1872,91.14µm
_3227_,91.1µm
net2814,91.08µm
pc\[23\],90.96µm
net1974,90.9µm
net1207,90.72µm
u_wm0.u_dm.data_mem\[12\]\[17\],90.58µm
net1843,90.43µm
net1945,90.21µm
net2071,90.14µm
net1155,90.1µm
net1476,90.1µm
net1584,90.05µm
net1286,89.975µm
U_rf0.rd\[7\]\[11\],89.96µm
net1913,89.86µm
net2006,89.84µm
_1586_,89.78µm
net1118,89.7µm
_2127_,89.7µm
u_wm0.u_dm.data_mem\[12\]\[19\],89.46µm
net2086,89.42µm
_0769_,89.4µm
net2102,89.36µm
net1623,89.205µm
net2017,89.17µm
net1271,89.14µm
U_rf0.rd\[2\]\[24\],89µm
net1893,88.91µm
_3202_,88.9µm
net2009,88.83µm
_0844_,88.76µm
net1643,88.59µm
_2160_,88.44µm
net1949,88.42µm
pc_plus4\[29\],88.34µm
U_rf0.rd\[7\]\[19\],88.22µm
