Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_91_330,VGND,li1,158.0100,261.1200,0.000066
FILLER_91_320,VGND,li1,152.9500,261.1200,0.000071
FILLER_91_317,VGND,li1,152.0300,261.1200,0.000071
FILLER_91_290,VGND,li1,139.3800,261.1200,0.000058
FILLER_91_211,VGND,li1,102.8100,261.1200,0.000059
FILLER_91_177,VGND,li1,87.1700,261.1200,0.000111
FILLER_91_144,VGND,li1,72.4500,261.1200,0.000118
FILLER_91_94,VGND,li1,49.2200,261.1200,0.000159
FILLER_91_85,VGND,li1,44.8500,261.1200,0.000120
FILLER_91_71,VGND,li1,38.6400,261.1200,0.000153
FILLER_91_60,VGND,li1,33.5800,261.1200,0.000168
FILLER_91_57,VGND,li1,32.4300,261.1200,0.000168
FILLER_91_54,VGND,li1,30.8200,261.1200,0.000169
FILLER_91_26,VGND,li1,17.9400,261.1200,0.000112
FILLER_91_6,VGND,li1,8.9700,261.1200,0.000082
FILLER_91_3,VGND,li1,7.5900,261.1200,0.000082
FILLER_90_592,VGND,li1,278.5300,255.6800,0.000054
FILLER_90_589,VGND,li1,277.1500,255.6800,0.000054
FILLER_90_568,VGND,li1,267.4900,255.6800,0.000080
FILLER_90_565,VGND,li1,266.1100,255.6800,0.000080
FILLER_90_512,VGND,li1,241.7300,255.6800,0.000191
FILLER_90_499,VGND,li1,235.2900,255.6800,0.000211
FILLER_90_442,VGND,li1,209.0700,255.6800,0.000207
FILLER_90_421,VGND,li1,199.4100,255.6800,0.000156
FILLER_90_410,VGND,li1,194.5800,255.6800,0.000115
FILLER_90_390,VGND,li1,185.6100,255.6800,0.000147
FILLER_90_309,VGND,li1,148.1200,255.6800,0.000122
FILLER_90_306,VGND,li1,146.7400,255.6800,0.000120
FILLER_90_261,VGND,li1,126.0400,255.6800,0.000086
FILLER_90_197,VGND,li1,96.3700,255.6800,0.000079
FILLER_90_95,VGND,li1,49.6800,255.6800,0.000050
FILLER_90_85,VGND,li1,45.0800,255.6800,0.000041
FILLER_90_73,VGND,li1,39.5600,255.6800,0.000058
FILLER_90_54,VGND,li1,30.8200,255.6800,0.000078
FILLER_89_611,VGND,li1,286.8100,255.6800,0.000041
FILLER_89_578,VGND,li1,271.8600,255.6800,0.000068
FILLER_89_557,VGND,li1,262.4300,255.6800,0.000086
FILLER_89_554,VGND,li1,261.0500,255.6800,0.000086
FILLER_89_508,VGND,li1,239.6600,255.6800,0.000202
FILLER_89_505,VGND,li1,238.5100,255.6800,0.000217
FILLER_89_503,VGND,li1,237.1300,255.6800,0.000217
FILLER_89_457,VGND,li1,216.4300,255.6800,0.000203
FILLER_89_447,VGND,li1,211.3700,255.6800,0.000207
FILLER_89_415,VGND,li1,197.1100,255.6800,0.000138
FILLER_89_397,VGND,li1,188.3700,255.6800,0.000137
FILLER_89_365,VGND,li1,173.6500,255.6800,0.000155
FILLER_89_334,VGND,li1,159.6200,255.6800,0.000111
FILLER_89_281,VGND,li1,135.4700,255.6800,0.000074
FILLER_89_260,VGND,li1,125.3500,255.6800,0.000088
FILLER_89_234,VGND,li1,113.3900,255.6800,0.000089
FILLER_89_222,VGND,li1,108.1000,255.6800,0.000075
FILLER_89_179,VGND,li1,88.3200,255.6800,0.000081
FILLER_89_169,VGND,li1,83.4900,255.6800,0.000074
FILLER_89_166,VGND,li1,82.3400,255.6800,0.000074
FILLER_89_152,VGND,li1,75.6700,255.6800,0.000054
FILLER_89_137,VGND,li1,69.0000,255.6800,0.000050
FILLER_89_93,VGND,li1,48.7600,255.6800,0.000047
FILLER_89_57,VGND,li1,32.2000,255.6800,0.000078
FILLER_89_55,VGND,li1,31.0500,255.6800,0.000078
FILLER_89_28,VGND,li1,19.0900,255.6800,0.000068
FILLER_88_597,VGND,li1,280.3700,250.2400,0.000104
FILLER_88_561,VGND,li1,263.8100,250.2400,0.000123
FILLER_88_558,VGND,li1,262.8900,250.2400,0.000123
FILLER_88_531,VGND,li1,250.0100,250.2400,0.000088
FILLER_88_528,VGND,li1,249.0900,250.2400,0.000088
FILLER_88_473,VGND,li1,223.7900,250.2400,0.000084
FILLER_88_421,VGND,li1,199.4100,250.2400,0.000127
FILLER_88_418,VGND,li1,198.2600,250.2400,0.000120
FILLER_88_363,VGND,li1,172.7300,250.2400,0.000136
FILLER_88_334,VGND,li1,159.8500,250.2400,0.000140
FILLER_88_307,VGND,li1,146.9700,250.2400,0.000190
FILLER_88_292,VGND,li1,140.0700,250.2400,0.000154
FILLER_88_273,VGND,li1,131.5600,250.2400,0.000110
FILLER_88_253,VGND,li1,122.5900,250.2400,0.000129
FILLER_88_234,VGND,li1,113.6200,250.2400,0.000128
FILLER_88_195,VGND,li1,95.4500,250.2400,0.000118
FILLER_88_138,VGND,li1,69.4600,250.2400,0.000096
